,0,AUTOSYNC_CURRENTRECORDFLAG,AUTOSYNC_EFFECTIVEBEGINTIME,AUTOSYNC_EFFECTIVEENDTIME,AUTOSYNC_PRIMARYKEY,AUTOSYNC_VALUEHASH,COL_BIGINT,COL_BINARY,COL_BOOLEAN,COL_CHAR,COL_DATE,COL_DATETIME,COL_DATETIME2,COL_DATETIMEOFFSET,COL_DECIMAL,COL_FLOAT,COL_INTEGER,COL_MONEY,COL_NCHAR,COL_NUMERIC,COL_NVARCHAR,COL_REAL,COL_SMALLDATETIME,COL_SMALLINT,COL_SMALLMONEY,COL_TIME,COL_TINYINT,COL_UNIQUEIDENTIFIER,COL_VARBINARY,COL_VARCHAR
0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
